query,mean_hot_s,min_hot_s,max_hot_s,variance_ln,covariance_with_suite,variance_share,paired_variance_share,observed_range_contribution,loo_variance_share_min,loo_variance_share_max,selected_hot_zero_gc_count,selected_hot_zero_gc_time
10,0.2822,0.237,0.343,0.01135852743998745,0.021610574621276357,0.027547472287246355,0.032737746690187995,0.2431843021976563,0.012604401405744354,0.044917216899066366,0,7
1,0.03325,0.027,0.041,0.008267140677568657,0.01805022448582048,0.02300901607272244,-0.005459694022264836,0.18232155679395468,0.013429209483410174,0.04310236981678573,20,20
29,0.03275,0.029,0.037,0.003163548543675,0.014866058955645352,0.0189500906050884,0.010261088142290627,0.04762804898925488,0.012234757108708142,0.024237521593283688,20,20
22,0.329,0.281,0.398,0.006189231017719627,0.013958635160450863,0.01779337763983955,-0.004658241784512633,0.03184060585565884,-0.001819172299471061,0.024137011369750282,19,20
41,0.0403,0.037,0.044,0.0016150972660055596,0.00975282770287682,0.01243214285485852,0.009003401948419662,0.07847161544149506,0.007746860418510199,0.01753576399534448,20,20
13,2.5539,2.29,2.837,0.00571911922282773,0.008093064937185427,0.01031640694350187,0.002261537765970969,0.029310663787150304,0.0037596437604486025,0.019615847590932073,0,0
40,0.02905,0.026,0.032,0.001823721383900796,0.008071564377427662,0.010288999709568156,-0.0062016851807715784,0.07410797215372189,0.0026500510357243593,0.014144244425600763,20,20
30,0.5224,0.51,0.549,0.0002654706649056767,0.006839580261839972,0.0087185626028627,0.013504116294690695,0.03163054388660558,0.006980230698691508,0.010554096589676928,20,20
11,0.23865,0.211,0.266,0.0018513876518882495,0.006501885439432645,0.008288095624319073,0.01639233080031204,0.13126638599367046,-0.0045328715110609236,0.011426184863777925,3,7
27,0.2048,0.194,0.22,0.0007156172189314444,0.006058865978518234,0.007723369024673952,0.011597941344703582,0.05531363798405231,0.004307674188279667,0.009946867596727006,20,20
33,2.2511,2.196,2.329,0.00026428392951544175,0.00604914012116896,0.007710971261518915,0.0030452903294058004,0.012340394593016946,0.004958848993603552,0.009495463336291187,0,0
14,0.9331,0.885,1.005,0.0012073388984138076,0.004573008461008655,0.005829313938045519,0.009447239333855342,0.09885897947301236,0.0005447710952601228,0.014095353317896893,6,6
16,2.0165,1.975,2.088,0.00025889199622028836,0.004526354572980377,0.005769843206236012,0.0026575393428787167,0.007984074348220016,0.0044278582772321025,0.007891922851899078,0,0
31,1.4951,1.343,1.585,0.002091115944173228,0.004096950091307904,0.005222471918512557,0.009449775153181404,-0.026207955726659904,0.0017215256689900836,0.01260603287826707,3,4
12,0.7685,0.749,0.798,0.00023406901292959755,0.0029041397308706965,0.0037019704545795443,0.005796889867711692,-0.010165271776850782,0.0018395863099709311,0.0063281350933183135,0,0
9,0.76215,0.729,0.809,0.0008026513315499084,0.0020981036791625786,0.002674498664214008,-0.003830652595991097,0.0665206823415625,-0.0028344851906387312,0.007286189809749474,19,19
28,8.6339,8.428,9.034,0.0003648808850249852,0.0017158078789263763,0.0021871778434076495,0.0027785222167472506,-0.011305942928276913,0.000319921275187387,0.006102964734068775,0,0
36,0.07,0.058,0.089,0.014169588785389261,0.0015893820898141826,0.0020260201239579983,-0.0006014076676108454,0.1957445771260955,-0.024188360585294607,0.015511744981888075,20,20
35,0.39295,0.381,0.41,0.00022557489563132876,0.001459513013468062,0.0018604731709356197,0.000733409660237842,0.0,-4.437179939121435e-05,0.004123685170927669,20,20
18,3.92285,3.854,4.008,0.00011593776516096516,4.849545571340285e-06,6.181821842937399e-06,0.00012365304195712196,-0.0010206686265004095,-0.0011599890962494467,0.001046201979717503,0,0
15,0.43565,0.428,0.458,0.0002930342443983037,-9.480960116148696e-05,-0.0001208558729386848,-0.00027527378531612775,0.009049835519918004,-0.0019168500638612556,0.0018661359590673426,20,20
0,0.00105,0.001,0.002,0.00037854898628157435,-0.0002731422268999232,-0.00034818037270486926,0.0005791467555815029,0.0,-0.0009427164579411549,0.0001561552159907617,20,20
32,6.8102,6.713,6.873,3.800742427371091e-05,-0.0012395425173178248,-0.0015800719667610407,-0.0018313215467537977,-0.007876353437274997,-0.0020784224688151416,-0.0007406544967415181,17,17
34,2.1755,2.105,2.26,0.0003769907511094101,-0.0013035533860337606,-0.0016616680216062802,-0.0009206431119219202,-0.0317771199206871,-0.003133041527360234,0.002701039152182085,0,0
37,0.0456,0.039,0.064,0.008980394010385006,-0.0016056522638033183,-0.0020467600707168927,-0.015243303790837723,0.017391742711869274,-0.008653803007585878,0.00444659998648559,20,20
5,0.65655,0.613,0.702,0.0006968752889694641,-0.0020320072973053363,-0.002590244160138628,-0.011221393858413085,0.004494389587839542,-0.007612942926098688,0.0012886735080940258,1,6
8,0.6706000000000001,0.652,0.74,0.0008945784053434134,-0.0030330292533186243,-0.0038662687488162486,0.002770114449676533,0.005961269516499446,-0.006609502055311475,0.004376982209262213,13,13
4,0.31135,0.293,0.339,0.0014118654665173863,-0.007577101648961103,-0.009658697251247673,0.0041029860877005745,-0.009630893060961432,-0.015028469706782545,-0.0043341531517288,20,20
26,0.0226,0.018,0.031,0.010108275149117739,-0.01695899677617248,-0.021618004236276037,-0.02957530323599127,-0.16705408466316607,-0.031578960567719826,-0.0006476311020225413,20,20
