query,mean_hot_s,min_hot_s,max_hot_s,variance_ln,covariance_with_suite,variance_share,paired_variance_share,observed_range_contribution,loo_variance_share_min,loo_variance_share_max,selected_hot_zero_gc_count,selected_hot_zero_gc_time
9,0.7463,0.717,0.787,0.0006378448527078343,0.001006061379473328,0.0009538245285270533,0.011899254753053895,0.02429269256904476,-0.0023255309594431674,0.004022632269953189,17,17
8,0.6587000000000001,0.639,0.676,0.00021134306286606566,0.0009871424656047241,0.0009358879249866097,0.0047646375667172725,0.016357242024771734,-0.0010714876028842673,0.0022363277596429707,6,6
0,0.00105,0.001,0.002,0.00037854898628157435,0.0007593294909589017,0.0007199034855007703,0.003934871291132945,0.0,0.0,0.0013340032439567865,20,20
4,0.3139,0.295,0.339,0.0010925808826331835,-0.0001864052692897413,-0.00017672671044019494,0.0067885807955493415,-0.05423976893699689,-0.004416334627854733,0.006313937353239284,20,20
32,6.78075,6.71,6.896,4.840825166160186e-05,-0.0005439118588106679,-0.0005156707959130167,-0.0001489383920004766,0.006580414181739602,-0.0017435654609197998,0.00010340194854045817,19,20
35,0.39775,0.382,0.423,0.00045999087864399206,-0.0012984744826101914,-0.0012310549201564995,-0.0010915004896012845,0.00968530573446369,-0.003695809366254246,0.0006832212265065371,20,20
15,0.4348,0.429,0.455,0.00020488617983660447,-0.0016956784962752973,-0.0016076352549085472,0.00060131468827039,0.0,-0.0034809436984009584,0.0007042906593843095,20,20
18,3.8876,3.852,3.974,7.216904497663031e-05,-0.0023968560653304326,-0.002272406190224518,-0.0017730011067491852,-0.014097375591518357,-0.0032245945528296804,-0.000975489899261154,0,0
14,0.9355,0.871,0.984,0.001223538730479685,-0.0038577698290910515,-0.0036574661978625487,-0.004550382344904573,0.009478743954543623,-0.006388001978563413,-0.0005426984489126239,4,4
3,0.04025,0.033,0.054,0.011168533946217593,-0.010141338112199085,-0.009614778224133367,-0.03859175933800355,-0.11551288712184427,-0.02097536522582512,-0.0008614214091136387,20,20
19,0.012,0.009,0.015,0.005842068350562314,-0.010364142152816313,-0.009826013804120447,-0.023433090310450076,0.0,-0.016877749940593552,-0.0018173570738669504,20,20
10,0.2897,0.226,0.355,0.006366675494597092,-0.011240545412873898,-0.010656912339119981,0.01603008922459013,-0.0478560211776351,-0.020497906225117605,-0.00496186687705944,1,1
