query,attempt,n,mean,sample_sd,min,max,spread,gc_affected_legs
42,9,20,0.04425,0.0047114083267164,0.038,0.056,0.018000000000000002,0
42,10,20,0.0429,0.0042413999674883905,0.035,0.053,0.017999999999999995,0
42,11,20,0.0426,0.004535242116208525,0.037,0.055,0.018000000000000002,0
42,12,20,0.04485,0.013192003159809396,0.036,0.099,0.063,1
42,13,20,0.0448,0.003533300231556298,0.04,0.053,0.012999999999999998,0
42,14,20,0.04405,0.005175600651640654,0.036,0.058,0.022000000000000006,0
42,15,20,0.04735,0.013569606130109886,0.039,0.101,0.062000000000000006,1
42,16,20,0.04225,0.0034469666298600024,0.037,0.05,0.013000000000000005,0
42,17,20,0.04195,0.003203205631205945,0.036,0.049,0.013000000000000005,0
42,18,20,0.0433,0.004366137640379291,0.037,0.053,0.016,0
42,19,20,0.0489,0.017841111600959587,0.036,0.099,0.063,2
42,20,20,0.0473,0.014400657879708866,0.038,0.104,0.066,1
42,21,20,0.04505,0.007430201527337069,0.037,0.069,0.03200000000000001,3
42,22,20,0.05,0.016482845947418057,0.036,0.097,0.061000000000000006,3
42,23,20,0.04525,0.0137300093916478,0.037,0.102,0.065,1
42,24,20,0.05025,0.01643768135781481,0.037,0.092,0.055,4
42,25,20,0.04515,0.01301122996734582,0.037,0.098,0.061000000000000006,1
42,26,20,0.04345,0.004489461343846803,0.037,0.051,0.013999999999999999,1
42,27,20,0.0433,0.006705064857019812,0.036,0.063,0.027000000000000003,3
42,28,20,0.04585,0.012503788899453848,0.036,0.09,0.054,2
42,29,20,0.04175,0.004777964772622445,0.037,0.055,0.018000000000000002,1
42,30,20,0.04265,0.005173566417248764,0.037,0.057,0.020000000000000004,3
42,31,20,0.04375,0.0051080431931570325,0.038,0.06,0.022,2
42,32,20,0.0417,0.004414092265269926,0.037,0.055,0.018000000000000002,1
42,33,20,0.0414,0.004296877691386717,0.037,0.056,0.019000000000000003,2
