query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,min_ln,max_ln,ln_range,dip_p,dip_p_holm_45,modality,sequence_rho,sequence_p,cov_with_suite_ln,variance_share
28,20,8.6339,0.1665614790874214,8.428,9.034,1.8889451086957536,0.01910185553879479,1.8650108790600621,1.9343671197736387,0.0693562407135766,0.7108277855072316,1,unimodality not rejected; not proof at n=20,0.009022556390977442,0.9698849998123449,0.001715807878926425,0.0021871778434077167
29,20,0.03275000000000001,0.002425196682202996,0.029,0.037,1.0458080880357028,0.056245431313796494,0.9555114450274363,1.1420974006078486,0.18658595558041224,0.08248776265729907,1,unimodality not rejected; not proof at n=20,-0.15345299946885058,0.5183325727025797,0.014866058955645143,0.018950090605088173
30,20,0.5224000000000001,0.008768364187595992,0.51,0.549,1.733973304970257,0.016293270540492375,1.7105340293054692,1.7828546908850953,0.07232066157962613,0.46150363916101833,1,unimodality not rejected; not proof at n=20,-0.13484016378201832,0.5708540021996419,0.00683958026183997,0.008718562602862717
31,20,1.4950999999999999,0.0680741855393225,1.343,1.585,2.3811548266817257,0.04572872121734029,2.2756056950400962,2.440155082088253,0.1645493870481567,0.4810907937383282,1,unimodality not rejected; not proof at n=20,0.19999999999999998,0.3978729793519616,0.004096950091307804,0.005222471918512441
32,20,6.810199999999999,0.04192298703700955,6.713,6.873,2.9754235780971294,0.006165016161674753,2.9610872826945625,2.98460740262389,0.023520119929327343,0.7432352638803765,1,unimodality not rejected; not proof at n=20,0.06094809851772978,0.798526498410532,-0.001239542517317826,-0.001580071966761046
33,20,2.2511,0.03692652733540797,2.196,2.329,2.1362321252162144,0.016256811788153348,2.111687541413198,2.1702301081839295,0.05854256677073133,0.9903606309846713,1,unimodality not rejected; not proof at n=20,0.0030086500811389383,0.9899559530331808,0.006049140121168997,0.00771097126151898
34,20,2.1755000000000004,0.04259293245054679,2.105,2.26,2.102171743575038,0.019416249666436878,2.0695614330801284,2.1402864520751987,0.07072501899507033,0.9849117890799727,1,unimodality not rejected; not proof at n=20,0.006017300162277877,0.9799133606586602,-0.0013035533860337098,-0.0016616680216062192
35,20,0.3929500000000001,0.0060911929520371735,0.381,0.41,1.1083557522503376,0.015019150962398933,1.078358431763612,1.1499055830556602,0.07154715129204825,0.46150363916101833,1,unimodality not rejected; not proof at n=20,-0.1849770572569045,0.43494912076548553,0.001459513013468062,0.001860473170935624
36,20,0.07000000000000002,0.009711631658670145,0.058,0.089,1.3794740112100345,0.11903608186339662,1.2237754316221159,1.5993875765805987,0.37561214495848283,0.0030007214785229275,0.13503246653353174,unimodality rejected (unadjusted p < .05),0.27094855003720697,0.2478971051651726,0.001589382089814472,0.0020260201239583717
37,20,0.04560000000000001,0.005651269070329527,0.039,0.064,1.3056719637476704,0.09476494082932255,1.1837700970084166,1.5960148921019597,0.41224479509354306,0.285098922285547,1,unimodality not rejected; not proof at n=20,-0.06195767959300936,0.7952565352252503,-0.0016056522638032249,-0.0020467600707167783
38,20,0.0402,0.0025047323630532498,0.035,0.045,1.349871579794625,0.0502693799707808,1.241713132308783,1.4423838277709342,0.2006706954621511,0.08248776265729907,1,unimodality not rejected; not proof at n=20,-0.04329889641128581,0.8561677569770888,0.023230761798694505,0.02961276033035734
39,20,0.28355,0.05277806063328329,0.141,0.35,2.2299159993437465,0.2051250771514546,1.583292632329778,2.4521168269650095,0.8688241946352315,0.17893397515156362,1,unimodality not rejected; not proof at n=20,-0.30075187969924805,0.19757966317255532,0.04011264563863688,0.0511324670196679
40,20,0.029050000000000003,0.001669383750149485,0.026,0.032,1.1790694884451487,0.04270505103498644,1.0986122886681096,1.252762968495368,0.1541506798272585,0.46150363916101833,1,unimodality not rejected; not proof at n=20,0.021451499026147215,0.9284725991633296,0.008071564377427778,0.010288999709568328
41,20,0.0403,0.00202874085917453,0.037,0.044,1.3522867554584446,0.04018827274225106,1.2851982442485217,1.4240346891027376,0.13883644485421587,0.4615036391610132,1,unimodality not rejected; not proof at n=20,0.4714789718184494,0.03585472476118652,0.00975282770287688,0.012432142854858625
42,20,0.03935000000000001,0.005314082581613737,0.031,0.054,1.2546257208160143,0.10408633495827116,1.0745147370890493,1.519825753744413,0.44531101665536377,0.46150363916101467,1,unimodality not rejected; not proof at n=20,0.025680021998458164,0.9144185622411056,0.05969339584567943,0.07609247771558623
