query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,min_ln,max_ln,ln_range,dip_p,dip_p_holm_45,cov_with_suite_ln,variance_share
12,20,0.7665,0.01684761423060127,0.745,0.802,1.5129115237135593,0.021548017972324997,1.4850541927463647,1.5578367836590181,0.07278259091265338,0.7253911461588423,1,0.002736706720427674,0.002594611075017345
13,20,2.5122,0.18689980428589345,2.336,2.87,2.0651717043916227,0.07229476237379279,1.995275926428576,2.2003544703451468,0.20507854391657077,0.48619977655724256,1,0.010241375662929533,0.00970962161202919
14,20,0.9355000000000002,0.0329840471807365,0.871,0.984,1.5884435980685856,0.034979118492033,1.518367437031294,1.6390470177516885,0.12067958072039442,0.39561150793117295,1,-0.0038577698290910337,-0.003657466197862503
15,20,0.43479999999999996,0.006444908230941945,0.429,0.455,1.0286224283835623,0.014313845738885287,1.0155952108549398,1.0731332033671248,0.057537992512185054,0.21434297256101253,1,-0.001695678496275268,-0.001607635254908507
16,20,2.00795,0.03552089822240305,1.966,2.089,2.296485575355626,0.017485141252597196,2.2756238992660256,2.3360103407788455,0.06038644151281991,0.6247813129739461,1,0.00418625120854517,0.003968892124033901
17,20,0.04805000000000001,0.005414162714098723,0.039,0.057,1.7545974729259872,0.09313362663750942,1.589235205116581,1.9021075263969205,0.3128723212803395,0.46150363916101833,1,0.005238959034619206,0.00496694111624096
18,20,3.8876000000000004,0.033263540970479046,3.852,3.974,1.5158114966667382,0.008495236605099961,1.5066700868467175,1.5377712425627468,0.031101155716029227,0.4414662051681528,1,-0.0023968560653304088,-0.0022724061902244775
19,20,0.012000000000000002,0.0016858544608470492,0.009,0.015,0.7856788957926255,0.07643342430221424,0.6418538861723947,0.9162907318741551,0.2744368457017604,0.08248776265729907,1,-0.010364142152816346,-0.009826013804120402
20,20,0.03500000000000001,0.00720380016672487,0.022,0.046,-0.4398784315317072,0.16294259799460384,-0.7683706017975327,-0.20875481386210995,0.5596157879354228,0.46150363916101833,1,0.023339275172307102,0.022127450264558132
21,20,0.16855,0.032492063808356585,0.113,0.237,1.6127876423771539,0.19106577626758756,1.2568362938830038,1.9540402751385633,0.6972039812555595,0.355482990139257,1,0.025407998772695527,0.024088761326738286
22,20,0.3158500000000001,0.05228693607595042,0.25,0.439,2.341127175352137,0.15168601629982345,2.1266944265303813,2.6730356832571083,0.546341256726727,0.9165630106934377,1,0.07466161414460011,0.07078502401893404
23,20,0.07375000000000002,0.00485446078093996,0.062,0.081,0.8998360748937658,0.05916862888426592,0.7503055943998937,0.9844989819006886,0.23419338750079488,0.21434297256101253,1,0.012967465111915814,0.01229416668696597
24,20,0.019950000000000002,0.001904979624148524,0.017,0.024,1.0950522319446565,0.06288659642653589,0.9932517730102834,1.2237754316221159,0.23052365861183244,0.08248776265729907,1,0.008026066231542155,0.007609335767600149
25,20,0.0864,0.012062992558800828,0.067,0.108,2.2584943299395883,0.12508449148464637,2.0412203288596382,2.468099531471619,0.426879202611981,0.5303682983441443,1,0.08747871394999825,0.08293663268655617
26,20,0.019350000000000003,0.0022307657406087453,0.016,0.024,1.0739603807002147,0.07609402101731008,0.9555114450274363,1.2237754316221159,0.26826398659467954,0.08248776265729907,1,0.026725361967170236,0.025337724216583552
27,20,0.25279999999999997,0.023814193025876063,0.203,0.291,1.0240549802272478,0.09313329483037698,0.8179973834394213,1.1638154824788718,0.3458180990394505,0.3683852038650032,1,0.05180211424533478,0.04911243807274141
28,20,8.429699999999999,0.14195740651039643,8.119,8.646,1.865077169959441,0.016892911698092383,1.8277034801223504,1.890518287462041,0.06281480733969058,0.9203390114358269,1,0.003818323176158556,0.0036200676992192223
29,20,0.05215000000000001,0.003602265369107845,0.042,0.059,1.4198408741099426,0.059735652399151365,1.2431935174792175,1.5260563034950492,0.2828627860158317,0.46150363916101833,1,0.02688699084881528,0.02549096098222915
30,20,0.5173500000000001,0.004976523834332983,0.51,0.53,1.7245275429220452,0.009409950317010784,1.7105340293054692,1.7482743572883161,0.03774032798284699,0.46150363916101833,1,0.004980379699324011,0.004721787771120117
31,20,1.50335,0.07308198352391286,1.395,1.642,2.3865131242913384,0.047846399263857975,2.3133186486371544,2.4752680209502316,0.16194937231307716,0.8124157708299957,1,0.019299597477534482,0.018297521245083364
32,20,6.780749999999999,0.04735406946331891,6.71,6.896,2.971091162806993,0.00695760387357615,2.9606409537427205,2.9879433981754633,0.027302444432742767,0.7398037027800317,1,-0.0005439118588106618,-0.0005156707959130069
33,20,2.2216,0.036293250061133896,2.18,2.34,2.123102137614026,0.016036674302751516,2.1044081644102968,2.174921948737955,0.07051378432765842,0.6644681666413819,1,0.003761401177546613,0.0035661012120877154
34,20,2.1515,0.03794941231082298,2.11,2.226,2.0911636016948223,0.01746932952510578,2.0719227092658086,2.12519517587474,0.05327246660893126,0.07274525840460355,1,0.002324492486139874,0.002203799882287208
35,20,0.39774999999999994,0.008813118212731456,0.382,0.423,1.120085514177243,0.021447397945764703,1.0809127115687087,1.180388599780736,0.09947588821202724,0.46150363916101833,1,-0.001298474482610183,-0.0012310549201564817
36,20,0.07295,0.013678546398610759,0.058,0.114,1.410912176379976,0.15238855292591297,1.2237754316221159,1.824549292051046,0.6007738604289301,0.8284137441943116,1,0.0650329564222762,0.06165630672620609
37,20,0.04605,0.00648459713474939,0.041,0.067,1.3126334447747836,0.1047131065927807,1.2237754316221159,1.6357552207514738,0.41197978912935795,0.46150363916101833,1,0.0344177443472666,0.032630701709453994
38,20,0.03925000000000001,0.003945350361334745,0.033,0.046,1.3289508291112795,0.07935117945442377,1.1962507582320256,1.4604023332736125,0.2641515750415868,0.46150363916101833,1,0.012559930883323205,0.011907792504061274
39,20,0.24,0.06533879318396417,0.124,0.36,2.050653583648062,0.28823096621370586,1.4638525954657653,2.479515801153124,1.0156632056873587,0.9280763802297733,1,0.05196636140536051,0.049268157170174076
40,20,0.044050000000000006,0.0026650762801367182,0.04,0.048,1.5038474549333105,0.049329460051872255,1.4271163556401458,1.575536360758419,0.14842000511827314,0.46150363916101833,1,0.009220903086281677,0.008742134146398146
41,20,0.055349999999999996,0.005724140937615373,0.039,0.061,1.610603397801475,0.09753701497659192,1.32687094064909,1.6977305195797785,0.37085957893068855,0.46150363916101833,1,0.047028222153395804,0.04458641663236328
42,20,0.1295,0.043989831360871284,0.046,0.182,2.2366300140660917,0.38909526129547445,1.3862943611198906,2.618438042412523,1.2321436812926325,0.35105937400471465,1,0.23956171922243935,0.22712316420504203
