query,full_cold_mean_s,split_cold_mean_s,cold_ratio_means,full_hot_mean_s,split_hot_mean_s,hot_ratio_means,mean_ln_shift_vs_full,ln_sd_ratio
20,1.9133499999999999,1.6980500000000003,0.8874748477800718,0.031450000000000006,0.03500000000000001,1.1128775834658189,0.08040044499573323,1.095911919091076
21,0.26034999999999997,4.563650000000001,17.52890339927022,0.18475,0.16855,0.9123139377537213,-0.09540410165448354,1.3820499229773284
22,5.272450000000001,5.0103,0.9502792819277563,0.32900000000000007,0.3158500000000001,0.9600303951367781,-0.04793766144073919,1.9280895419858393
23,0.49555,0.39635000000000004,0.7998183836141661,0.11915,0.07375000000000002,0.6189676877885021,-0.42281633740703606,0.35520081828008465
24,0.07215,0.06680000000000001,0.925848925848926,0.017750000000000005,0.019950000000000002,1.1239436619718308,0.0763130823406375,0.9947928818165986
25,0.32125,0.21790000000000004,0.6782879377431908,0.10625000000000002,0.0864,0.8131764705882352,-0.17317257638873018,0.6215064519725225
26,0.0468,0.030400000000000003,0.6495726495726496,0.022600000000000002,0.019350000000000003,0.8561946902654868,-0.10284358768987989,0.7568538187540433
27,1.5305,1.3993,0.9142763802678863,0.2048,0.25279999999999997,1.2343749999999998,0.1979844045449043,3.4814853866061806
28,12.08295,11.7325,0.9709963212626055,8.6339,8.429699999999999,0.976349042726925,-0.023867938736312544,0.8843597243097056
29,0.17595,0.26585000000000003,1.5109406081273091,0.03275000000000001,0.05215000000000001,1.5923664122137404,0.37403278607423984,1.0620534148966292
30,1.9717499999999997,2.1383,1.0844681120831752,0.5224000000000001,0.5173500000000001,0.990333078101072,-0.009445762048211792,0.5775360013586578
31,1.7965499999999994,1.73295,0.964598814394256,1.4950999999999999,1.50335,1.0055180255501306,0.0053582976096127055,1.046309583783302
32,8.8857,9.15645,1.0304703062223572,6.810199999999999,6.780749999999999,0.9956756042406978,-0.004332415290136282,1.1285621466539817
33,2.68965,3.0238500000000004,1.12425408510401,2.2511,2.2216,0.986895295633246,-0.013129987602188198,0.9864587541351588
34,2.2234,2.1946000000000003,0.9870468651614647,2.1755000000000004,2.1515,0.9889680533210754,-0.011008141880215927,0.8997272812835445
35,0.63025,0.73865,1.1719952399841334,0.3929500000000001,0.39774999999999994,1.0122152945667384,0.011729761926905447,1.428003353815349
36,0.25864999999999994,0.35660000000000003,1.3786970809974874,0.07000000000000002,0.07295,1.0421428571428568,0.03143816516994136,1.2801879105932852
37,0.32895,0.2855,0.8679130566955463,0.04560000000000001,0.04605,1.0098684210526314,0.006961481027113248,1.1049772803781455
38,0.26105,0.25025,0.9586286152078145,0.0402,0.03925000000000001,0.9763681592039802,-0.020920750683345535,1.578519160183532
39,0.6089,0.5802,0.9528658236163574,0.28355,0.24,0.8464115676247574,-0.17926241569568457,1.4051473872250628
