series,observed_epoch_s,package_C,mean_reported_MHz_P,mean_reported_MHz_E,cpu0_package_throttle_count
cool-02,1788839845.9812849,92.0,3577.657666666667,2899.999,26053437
cool-02,1788839846.4854963,98.0,3532.7262499999997,2900.005375,26053490
cool-02,1788839846.992124,100.0,3609.5351666666666,2906.642,26053537
cool-02,1788839847.495396,100.0,2322.0335833333334,1517.181,26053580
cool-02,1788839847.9971883,97.0,1485.2085833333333,1151.6845,26053646
cool-02,1788839848.49903,100.0,3000.007416666667,2599.982375,26053717
cool-02,1788839849.0067048,100.0,3633.3148333333334,2999.981875,26053767
cool-02,1788839849.510162,100.0,3484.8884166666667,2799.980875,26053827
cool-02,1788839850.0142808,97.0,3258.5733333333333,2699.968125,26053882
cool-02,1788839850.5209205,97.0,3283.6766666666667,2709.34025,26053922
cool-02,1788839851.0248976,98.0,989.6795,1382.349875,26054000
cool-02,1788839851.5273564,100.0,3362.7523333333334,2752.255875,26054044
cool-02,1788839852.0304515,98.0,2214.0939166666667,2088.1025,26054096
cool-02,1788839852.532341,99.0,2708.28375,2679.267375,26054154
cool-02,1788839853.0375032,97.0,3200.005416666667,2699.96475,26054240
cool-02,1788839853.5409257,98.0,1435.6465833333334,3201.1169999999997,26054289
cool-02,1788839854.0424576,86.0,2300.074833333333,1700.09125,26054337
cool-02,1788839854.5485325,100.0,2891.168583333333,2500.008625,26054369
cool-02,1788839855.0519118,100.0,3899.3525,3106.08875,26054418
cool-02,1788839855.5542772,100.0,3299.9998333333333,2700.001125,26054465
cool-02,1788839856.059203,98.0,3113.83575,2625.25925,26054513
cool-02,1788839856.5619042,100.0,3265.162333333333,2700.00475,26054571
cool-02,1788839857.0648136,100.0,3699.4773333333333,3000.0143749999997,26054624
cool-02,1788839857.569883,100.0,2996.0250833333334,2599.995375,26054675
cool-02,1788839858.0732417,100.0,3690.244583333333,3000.005375,26054732
cool-02,1788839858.5830138,100.0,3200.0024166666667,2700.00825,26054782
cool-02,1788839859.0882142,100.0,2866.5465,2499.810625,26054835
cool-02,1788839859.5932178,98.0,3195.8643333333334,2697.68525,26054897
cool-02,1788839860.1012192,100.0,3099.939,2599.97925,26054955
cool-02,1788839860.60745,100.0,1896.27375,1253.952125,26055006
cool-02,1788839861.1097987,100.0,2900.00975,2499.989375,26055075
cool-02,1788839861.6142068,100.0,3393.57075,2797.3692499999997,26055145
cool-02,1788839862.1255429,100.0,3206.5453333333335,2700.009,26055196
cool-02,1788839862.6315198,100.0,3791.5985833333334,2937.81725,26055246
cool-02,1788839863.1402297,100.0,3319.063416666667,2709.453625,26055308
cool-02,1788839863.646354,100.0,3099.99725,2599.99475,26055376
cool-02,1788839864.15144,100.0,3600.0089166666667,2899.98475,26055443
cool-02,1788839864.6572037,100.0,3092.433916666667,2599.970125,26055506
cool-02,1788839865.162237,100.0,3199.9998333333333,2699.996125,26055579
cool-02,1788839865.666749,100.0,2999.996,2600.0122499999998,26055642
cool-02,1788839866.1698468,100.0,1345.0261666666665,1375.210875,26055690
cool-02,1788839866.6732693,100.0,3500.0085833333333,2800.01175,26055745
cool-02,1788839867.1773784,100.0,3499.9879166666665,2800.011875,26055798
cool-02,1788839867.680694,100.0,3861.744583333333,3300.013125,26055861
cool-02,1788839868.1834056,100.0,1427.0986666666668,1670.5305,26055910
cool-02,1788839868.6862524,100.0,3575.2986666666666,2874.8785,26055966
cool-02,1788839869.194221,100.0,3199.9889166666667,2700.005875,26056038
cool-02,1788839869.70084,100.0,3674.9634166666665,2981.172375,26056091
cool-02,1788839870.2048368,97.0,2102.22975,1915.313625,26056138
cool-02,1788839870.706498,100.0,1671.7431666666666,1259.4914999999999,26056195
cool-02,1788839871.2086115,100.0,2897.2255833333334,2500.06475,26056255
cool-02,1788839871.7132032,100.0,3699.9999166666666,3000.006125,26056310
cool-02,1788839872.2197826,98.0,3400.2573333333335,2801.43775,26056372
cool-02,1788839872.7248404,96.0,3487.972583333333,3000.1835,26056427
cool-02,1788839873.2312086,100.0,3200.01325,2700.02075,26056486
cool-02,1788839873.7341564,100.0,3099.9998333333333,2599.97525,26056536
cool-02,1788839874.2422404,100.0,3547.4198333333334,2835.992375,26056576
cool-02,1788839874.749054,98.0,3099.9945,2600.011625,26056608
cool-02,1788839875.25723,100.0,3000.172916666667,2599.97475,26056667
cool-02,1788839875.7603326,100.0,3400.005416666667,2799.979625,26056712
cool-02,1788839876.2689338,100.0,3100.0154166666666,2600.01925,26056748
cool-02,1788839876.7721906,98.0,717.939,1201.498125,26056804
cool-02,1788839877.2737958,98.0,2749.1134166666666,2399.80375,26056863
cool-02,1788839877.7758672,100.0,3382.7375,2788.1238749999998,26056912
cool-02,1788839878.2802782,100.0,3500.0115833333334,2799.9985,26056955
cool-02,1788839878.7862458,98.0,3160.4735833333334,2684.352125,26057003
cool-02,1788839879.2922258,98.0,3300.008,2699.9995,26057054
cool-02,1788839879.7992773,100.0,3499.987833333333,2799.97775,26057100
cool-02,1788839880.3041258,100.0,3099.9998333333333,2600.00075,26057169
cool-02,1788839880.8073292,100.0,1130.5396666666666,1609.155125,26057250
cool-02,1788839881.3089974,100.0,2899.99475,2499.941,26057313
cool-02,1788839881.816222,100.0,3200.0023333333334,2700.002625,26057366
cool-02,1788839882.3202326,98.0,3330.4104166666666,2737.0605,26057421
cool-02,1788839882.826617,100.0,3099.9865833333333,2599.989,26057460
cool-02,1788839883.331218,100.0,3004.0423333333333,2599.992,26057516
cool-02,1788839883.8374052,100.0,3399.5233333333335,2799.226375,26057575
cool-02,1788839884.3443005,100.0,3000.325333333333,2599.982375,26057627
cool-02,1788839884.8469493,97.0,1429.5676666666666,533.94325,26057681
cool-02,1788839885.3502111,98.0,3468.605666666667,2799.9805,26057726
cool-02,1788839885.9441416,100.0,2894.554,2499.97525,26057783
cool-02,1788839886.4463115,97.0,1263.7105833333333,2957.42,26057847
cool-02,1788839886.9480221,98.0,2448.4510833333334,1058.47175,26057894
cool-02,1788839887.4512024,100.0,3094.02025,2600.005,26057934
cool-02,1788839887.9583821,100.0,3604.978,2900.002375,26057964
cool-02,1788839888.467158,100.0,1611.7447499999998,1465.865125,26058016
cool-02,1788839888.9687514,100.0,1732.6528333333333,1446.673,26058048
cool-02,1788839889.4703012,100.0,2250.849833333333,2366.3762500000003,26058103
cool-02,1788839889.972035,94.0,2455.3835,2886.684125,26058139
cool-02,1788839890.473773,94.0,2051.3431666666665,2652.703375,26058165
cool-02,1788839890.9753058,100.0,2911.48025,2446.36225,26058221
cool-02,1788839891.4767754,100.0,2851.525833333333,2370.9113749999997,26058275
cool-02,1788839891.9782202,97.0,2586.5359166666667,2588.485875,26058324
cool-02,1788839892.4798555,98.0,2204.3055833333333,2907.241625,26058382
cool-02,1788839892.9814527,97.0,1022.7276666666667,2173.602125,26058429
