leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
baseline-03,3,1,1.29,8.9,6.9,1,0.07
baseline-03,3,2,0.115,1.9,16.1,0,0.0
baseline-03,3,3,0.031,0.4,11.2,0,0.0
baseline-03,4,1,0.568,8.1,14.2,4,0.17
baseline-03,4,2,0.338,4.8,14.1,0,0.0
baseline-03,4,3,0.286,3.8,13.4,0,0.0
baseline-03,5,1,2.344,28.2,12.0,5,0.13
baseline-03,5,2,0.781,7.9,10.1,1,0.01
baseline-03,5,3,0.711,7.3,10.2,2,0.04
baseline-03,6,1,0.037,0.2,5.7,0,0.0
baseline-03,6,2,0.021,0.1,5.7,1,0.0
baseline-03,6,3,0.019,0.1,6.3,0,0.0
baseline-03,7,1,0.226,2.1,9.1,1,0.0
baseline-03,7,2,0.036,0.3,9.5,0,0.0
baseline-03,7,3,0.014,0.1,10.2,0,0.0
baseline-03,8,1,1.796,23.3,13.0,5,0.14
baseline-03,8,2,0.694,10.0,14.4,1,0.01
baseline-03,8,3,0.86,9.7,11.3,0,0.0
baseline-03,9,1,1.298,16.9,13.0,4,0.12
baseline-03,9,2,0.898,12.0,13.3,0,0.0
baseline-03,9,3,0.885,11.9,13.4,1,0.01
baseline-03,10,1,2.587,19.1,7.4,4,0.25
baseline-03,10,2,0.439,2.5,5.8,2,0.04
baseline-03,10,3,0.437,2.4,5.5,2,0.06
baseline-03,11,1,2.045,21.8,10.7,4,0.15
baseline-03,11,2,0.406,3.5,8.6,2,0.11
baseline-03,11,3,0.3,2.0,6.8,2,0.0
baseline-03,12,1,2.103,24.3,11.6,5,0.14
baseline-03,12,2,0.833,10.0,12.0,1,0.02
baseline-03,12,3,0.88,10.5,11.9,1,0.04
baseline-03,13,1,3.272,32.4,9.9,8,0.46
baseline-03,13,2,3.236,34.8,10.8,10,0.57
baseline-03,13,3,3.211,36.2,11.3,13,0.73
baseline-03,14,1,2.136,30.2,14.1,6,0.17
baseline-03,14,2,1.065,12.9,12.1,0,0.0
baseline-03,14,3,1.008,12.6,12.5,1,0.01
baseline-03,15,1,1.375,20.7,15.0,1,0.04
baseline-03,15,2,0.431,8.3,19.2,0,0.0
baseline-03,15,3,0.434,8.3,19.2,0,0.0
baseline-03,16,1,4.226,60.0,14.2,5,0.27
baseline-03,16,2,2.165,30.2,13.9,3,0.05
baseline-03,16,3,2.13,29.2,13.7,2,0.06
baseline-03,17,1,0.199,2.4,12.1,0,0.0
baseline-03,17,2,0.043,0.3,7.0,0,0.0
baseline-03,17,3,0.059,0.4,6.7,0,0.0
baseline-03,18,1,7.08,99.7,14.1,9,0.3
baseline-03,18,2,4.339,69.9,16.1,2,0.21
baseline-03,18,3,4.417,72.3,16.4,3,0.01
baseline-03,19,1,0.039,0.1,1.6,0,0.0
baseline-03,19,2,0.014,0.0,2.1,0,0.0
baseline-03,19,3,0.013,0.0,1.5,0,0.0
baseline-03,20,1,3.277,34.3,10.5,6,0.1
baseline-03,20,2,0.032,0.4,11.9,0,0.0
baseline-03,20,3,0.029,0.4,12.7,0,0.0
baseline-03,21,1,0.494,3.8,7.6,0,0.0
baseline-03,21,2,0.403,4.8,12.0,0,0.0
baseline-03,21,3,0.4,5.1,12.7,0,0.0
baseline-03,22,1,12.117,40.9,3.4,6,0.12
baseline-03,22,2,0.663,3.8,5.7,0,0.0
baseline-03,22,3,0.834,8.3,10.0,3,0.13
baseline-03,23,1,1.025,7.9,7.7,0,0.0
baseline-03,23,2,0.203,0.6,3.1,0,0.0
baseline-03,23,3,0.182,0.5,2.9,0,0.0
baseline-03,24,1,0.135,0.3,2.0,0,0.0
baseline-03,24,2,0.025,0.1,2.0,0,0.0
baseline-03,24,3,0.026,0.1,2.0,0,0.0
baseline-03,25,1,0.555,4.8,8.6,0,0.0
baseline-03,25,2,0.14,0.9,6.5,0,0.0
baseline-03,25,3,0.153,0.9,5.8,0,0.0
baseline-03,26,1,0.04,0.1,2.8,0,0.0
baseline-03,26,2,0.033,0.1,2.4,0,0.0
baseline-03,26,3,0.034,0.1,2.6,0,0.0
baseline-03,27,1,4.228,66.4,15.7,5,0.15
baseline-03,27,2,0.575,8.7,15.1,0,0.0
baseline-03,27,3,0.479,8.7,18.1,0,0.0
baseline-03,28,1,14.955,156.8,10.5,30,0.65
baseline-03,28,2,9.004,77.2,8.6,22,0.49
baseline-03,28,3,8.777,73.2,8.3,18,0.45
baseline-03,29,1,0.315,2.1,6.5,0,0.0
baseline-03,29,2,0.039,0.3,8.0,0,0.0
baseline-03,29,3,0.037,0.3,8.4,0,0.0
baseline-03,30,1,2.248,28.9,12.8,4,0.33
baseline-03,30,2,0.543,9.1,16.8,0,0.0
baseline-03,30,3,0.547,9.5,17.4,0,0.0
baseline-03,31,1,3.585,29.8,8.3,1,0.14
baseline-03,31,2,3.16,25.9,8.2,0,0.0
baseline-03,31,3,3.071,25.5,8.3,3,0.05
baseline-03,32,1,10.506,154.3,14.7,6,0.3
baseline-03,32,2,6.929,128.2,18.5,0,0.0
baseline-03,32,3,7.041,129.8,18.4,1,0.01
baseline-03,33,1,3.68,43.0,11.7,13,0.18
baseline-03,33,2,2.497,33.7,13.5,7,0.14
baseline-03,33,3,2.272,31.2,13.7,4,0.07
baseline-03,34,1,2.305,31.3,13.6,5,0.08
baseline-03,34,2,2.283,31.3,13.7,5,0.08
baseline-03,34,3,2.285,31.0,13.6,5,0.07
baseline-03,35,1,0.704,12.6,17.9,0,0.0
baseline-03,35,2,0.443,7.8,17.5,0,0.0
baseline-03,35,3,0.46,7.7,16.7,0,0.0
baseline-03,36,1,0.298,2.1,7.2,0,0.0
baseline-03,36,2,0.083,0.5,6.2,0,0.0
baseline-03,36,3,0.09,0.5,5.9,0,0.0
baseline-03,37,1,1.145,3.3,2.9,0,0.0
baseline-03,37,2,0.053,0.3,5.1,0,0.0
baseline-03,37,3,0.05,0.2,4.4,0,0.0
baseline-03,38,1,0.793,3.0,3.8,0,0.0
baseline-03,38,2,0.047,0.3,5.3,0,0.0
baseline-03,38,3,0.05,0.3,5.0,0,0.0
baseline-03,39,1,0.868,9.7,11.2,1,0.07
baseline-03,39,2,0.446,3.6,8.0,0,0.0
baseline-03,39,3,0.153,1.1,7.2,0,0.0
baseline-03,40,1,0.153,0.8,5.0,0,0.0
baseline-03,40,2,0.036,0.3,7.1,0,0.0
baseline-03,40,3,0.035,0.2,6.8,0,0.0
baseline-03,41,1,0.1,0.4,4.1,0,0.0
baseline-03,41,2,0.049,0.2,4.5,0,0.0
baseline-03,41,3,0.046,0.2,4.7,0,0.0
baseline-03,42,1,0.357,2.3,6.5,0,0.0
baseline-03,42,2,0.046,0.3,6.5,0,0.0
baseline-03,42,3,0.05,0.3,5.8,0,0.0
cool-01,0,1,0.05,0.1,1.8,0,0.0
cool-01,0,2,0.003,0.0,3.4,0,0.0
cool-01,0,3,0.002,0.0,5.9,0,0.0
cool-01,1,1,0.309,3.6,11.7,0,0.0
cool-01,1,2,0.039,0.4,10.1,0,0.0
cool-01,1,3,0.033,0.3,7.8,0,0.0
cool-01,2,1,0.251,3.1,12.5,0,0.0
cool-01,2,2,0.06,0.7,12.3,0,0.0
cool-01,2,3,0.036,0.3,9.1,0,0.0
cool-01,3,1,0.954,7.2,7.6,1,0.11
cool-01,3,2,0.085,1.3,15.6,0,0.0
